,Country,Climate,HouseType,RennovationDegree,Number
177,BG,N,MFH,002,BG.N.MFH.02.Gen.ReEx.001.002
178,BG,N,MFH,003,BG.N.MFH.02.Gen.ReEx.001.003
179,BG,N,MFH,001,BG.N.MFH.03.Gen.ReEx.001.001
180,BG,N,MFH,002,BG.N.MFH.03.Gen.ReEx.001.002
181,BG,N,MFH,003,BG.N.MFH.03.Gen.ReEx.001.003
182,BG,N,MFH,001,BG.N.MFH.04.Gen.ReEx.001.001
183,BG,N,MFH,002,BG.N.MFH.04.Gen.ReEx.001.002
184,BG,N,MFH,003,BG.N.MFH.04.Gen.ReEx.001.003
185,BG,N,MFH,001,BG.N.MFH.05.Gen.ReEx.001.001
186,BG,N,MFH,002,BG.N.MFH.05.Gen.ReEx.001.002
187,BG,N,MFH,003,BG.N.MFH.05.Gen.ReEx.001.003
188,BG,N,MFH,001,BG.N.MFH.06.Gen.ReEx.001.001
189,BG,N,MFH,002,BG.N.MFH.06.Gen.ReEx.001.002
190,BG,N,MFH,003,BG.N.MFH.06.Gen.ReEx.001.003
191,BG,N,SFH,001,BG.N.SFH.01.Gen.ReEx.001.001
192,BG,N,SFH,002,BG.N.SFH.01.Gen.ReEx.001.002
193,BG,N,SFH,003,BG.N.SFH.01.Gen.ReEx.001.003
194,BG,N,SFH,001,BG.N.SFH.02.Gen.ReEx.001.001
195,BG,N,SFH,002,BG.N.SFH.02.Gen.ReEx.001.002
196,BG,N,SFH,003,BG.N.SFH.02.Gen.ReEx.001.003
197,BG,N,SFH,001,BG.N.SFH.03.Gen.ReEx.001.001
198,BG,N,SFH,002,BG.N.SFH.03.Gen.ReEx.001.002
199,BG,N,SFH,003,BG.N.SFH.03.Gen.ReEx.001.003
200,BG,N,SFH,001,BG.N.SFH.04.Gen.ReEx.001.001
201,BG,N,SFH,002,BG.N.SFH.04.Gen.ReEx.001.002
202,BG,N,SFH,003,BG.N.SFH.04.Gen.ReEx.001.003
203,BG,N,SFH,001,BG.N.SFH.05.Gen.ReEx.001.001
